ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
2,sigmoid,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.01,0.01
2,sigmoid,[ 0.92934783  0.86574074],[ 0.855  0.935],[ 0.890625    0.89903846],0.01,0.1
2,sigmoid,[ 0.9689441   0.81589958],[ 0.78   0.975],[ 0.86426593  0.88838269],0.01,1
2,sigmoid,[ 0.32183908  0.36283186],[ 0.28  0.41],[ 0.29946524  0.38497653],0.01,10
2,sigmoid,[ 0.51026393  0.55932203],[ 0.87   0.165],[ 0.64325323  0.25482625],0.01,100
2,sigmoid,[ 0.49620253  0.2       ],[ 0.98   0.005],[ 0.65882353  0.0097561 ],0.01,1000
2,sigmoid,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.1,0.001
2,sigmoid,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],0.1,0.01
2,sigmoid,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],0.1,0.1
2,sigmoid,[ 0.94350282  0.85201794],[ 0.835  0.95 ],[ 0.88594164  0.89834515],0.1,1
2,sigmoid,[ 0.255  0.255],[ 0.255  0.255],[ 0.255  0.255],0.1,10
2,sigmoid,[ 0.40727273  0.296     ],[ 0.56   0.185],[ 0.47157895  0.22769231],0.1,100
2,sigmoid,[ 0.48307692  0.42666667],[ 0.785  0.16 ],[ 0.59809524  0.23272727],0.1,1000
2,sigmoid,[ 0.92972973  0.86976744],[ 0.86   0.935],[ 0.89350649  0.90120482],1,0.001
2,sigmoid,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],1,0.01
2,sigmoid,[ 0.93989071  0.87096774],[ 0.86   0.945],[ 0.89817232  0.90647482],1,0.1
2,sigmoid,[ 0.90860215  0.85514019],[ 0.845  0.915],[ 0.87564767  0.88405797],1,1
2,sigmoid,[ 0.23979592  0.25      ],[ 0.235  0.255],[ 0.23737374  0.25247525],1,10
2,sigmoid,[ 0.36866359  0.3442623 ],[ 0.4    0.315],[ 0.38369305  0.32898172],1,100
2,sigmoid,[ 0.41588785  0.40322581],[ 0.445  0.375],[ 0.42995169  0.38860104],1,1000
2,sigmoid,[ 0.93854749  0.85520362],[ 0.84   0.945],[ 0.88654354  0.89786223],10,0.001
2,sigmoid,[ 0.93989071  0.87096774],[ 0.86   0.945],[ 0.89817232  0.90647482],10,0.01
2,sigmoid,[ 0.93048128  0.87793427],[ 0.87   0.935],[ 0.89922481  0.90556901],10,0.1
2,sigmoid,[ 0.84862385  0.91758242],[ 0.925  0.835],[ 0.88516746  0.87434555],10,1
2,sigmoid,[ 0.23979592  0.25      ],[ 0.235  0.255],[ 0.23737374  0.25247525],10,10
2,sigmoid,[ 0.36915888  0.34946237],[ 0.395  0.325],[ 0.38164251  0.33678756],10,100
2,sigmoid,[ 0.40291262  0.39690722],[ 0.415  0.385],[ 0.408867    0.39086294],10,1000
2,sigmoid,[ 0.93989071  0.87096774],[ 0.86   0.945],[ 0.89817232  0.90647482],100,0.001
2,sigmoid,[ 0.93048128  0.87793427],[ 0.87   0.935],[ 0.89922481  0.90556901],100,0.01
2,sigmoid,[ 0.92146597  0.88516746],[ 0.88   0.925],[ 0.90025575  0.90464548],100,0.1
2,sigmoid,[ 0.84651163  0.9027027 ],[ 0.91   0.835],[ 0.87710843  0.86753247],100,1
2,sigmoid,[ 0.23979592  0.25      ],[ 0.235  0.255],[ 0.23737374  0.25247525],100,10
2,sigmoid,[ 0.36574074  0.3423913 ],[ 0.395  0.315],[ 0.37980769  0.328125  ],100,100
2,sigmoid,[ 0.40291262  0.39690722],[ 0.415  0.385],[ 0.408867    0.39086294],100,1000
2,sigmoid,[ 0.93048128  0.87793427],[ 0.87   0.935],[ 0.89922481  0.90556901],1000,0.001
